86f0b470f5aa00ebc88f7710ddf63031	Fatigue
0e9a54dc60f3aa0636c39d3659ff6080	Sweats
dab91c93b8526d29c8852c4504022963	Feeling cold
4cd393bdc18416554291b5c6138df805	Flushing
aff32b4e377c3df7e25eda3b5488f8b9	Weight gain
bcd5de1bf008def002018f16402be06c	Weight loss
1144c3842a385262aae2621deb3db07b	Appetite increase
92d7dbf479786d69ae09405d821c3232	Appetite decrease
366b0cded4a73c71fe1678888432138a	Rashes
2327e5d3401154057a9ff8cf6aaa5610	Itching
56f31310cc2181cc59abb1622ef18e99	Hair thinning/loss
2794ce7f1fb0763642d917e3f413bc49	Irritated eyes
27982a3babc9f53ec4e250fb0cd86835	Light sensitivity
b0ccb12fe86db7863b11a7b3fad9e623	Tinnitus
6746bd828728c3f5d9ce15efaae63030	Ear pain
6fc2500eda74b58e6461ded7b646e6e2	Ear congestion
3b6c6a159dc319d29bc1cc47666a3044	Mouth burning
62369ef2ae06ea85728e911dba4c2082	Mouth sores
1f1dbc36e7ff998ca9b0740b59cfeb0b	Dental decay
67b9d23213a7dbf64fdef85dbca8dbd5	Allergies
0a65c84d48140bdfd1988ca68c08f31f	Itchy throat
c447a5f5bb7919fc4257b4bb95795af3	Sore throat
2c8ea53e1e2f3a5741ea21a4081feec6	Post-nasal drip
65ba06582ecf63748c83e234252471a4	Swollen lymph nodes
cf64b3e774b90d8479ddd00cae5d5daf	Painful lymph nodes
c562821517f339cd0f18b17b620f6394	Pain in left upper abdomen
f81accb3a34247a48788c7ae0ea3e6ff	Swollen nasal passages
e9f3de59c1136c51ee43e11bdea3dfd8	Swollen sinuses
3315476b98906e389c7e8b5f0c7a1e45	Cough
2c21e1faa6988b32341d697a5895dcc1	Trouble catching breath
ff86441163ed1aad196e3bc1dcbcb9c6	Wheezing
32253f99f88f5466fa782bea0e65e4ad	Sleep Apnea
1f4b14e4fbcb1532b0055e65b33aa3d6	Dizziness
fca88581e27d97e2b18de22e5473e9cf	Lightheadedness
861762268546b2283382b8b324fe83bb	Weakness
e82bdd85698295bd578fc5197ac8be6e	Vertigo
3299fea0a1e33dd59264336bd68288c3	Fainting
b10add9601c7f80bbba36c1adf55efaf	High blood pressure
8d70571a6f1676b3d6f689591171d172	Low blood pressure
4716feaa8b2901b034b74958655acd8d	Heart palpitations
0cbafc5331b2bbc1ee53abd40b148b4c	Chest pain not from heart attack
09b554afcc5223286b140a7a9dc324c2	Bloating or gas
d769f06b35fe4b1571fe25455e855e71	Abdominal pain
a4455ede5a61d2498eae160b5d4aa970	Queasiness
a23a5290969da4b3d9937b86f9117bba	Nausea
f006a7bcc9d0420f4e8b0e4a062ff806	Vomiting
76e53c83ed5ee358b070056dd3910ab9	Diarrhea
8f6fe55c51bdb6ee5ca25a4cfbddb64d	Constipation
e82e14484c012470e7d6b9fb5bf7a1a6	Reflux
09651e40d95935b3c8757799b01ca462	Pelvic pain
bcafad2f7bd0c7719cef5f8f929148d3	Endometriosis (if you have/had a uterus)
87b552ad584c46927d03207696d9cd82	Decreased libido
68f5ce505a92fc50b1e823e8ad24ad71	Erectile dysfunction (if you have/had erections)
db5e8e535eb8531098138d8f540e2d07	Muscle pain
9379636e98ed1585bd6f64b8a9ea28c6	Arthritis
76d057f15ecac57b5c9decf2b1f730e2	Joint hypermobility
344ef3cfce3a3a07335f8ba24128b119	Osteoporosis / Osteopenia
7c46541f9fbcd6865b711283867680f2	Headaches
51e073d434d3e611cc2f6eccee9fbcf2	Tics
01805653c5c6aeb4b6ab7d42eec26c5f	Tremors
522822cf6cc6b732df1d7d18b788d0a6	Seizures
391ef67e0eda336bb7418cbb6f5dbb84	Unexplained mood changes
e94bc88997c44d14e7b99a465e19c67f	Anxiety
1eddd044138017100f06d6e1836b4019	Panic
e29b0533868561b6984d00ad6902e6a7	Depression
7b091e15d062869e816a593159f1de86	Anger
55836552a1ceb8c7fe6b2e60226f12ed	Psychosis
4955058015e713f3d8dba428fb1c46a8	Memory issues
53f8849515f9bfc2217f12cab275830f	Trouble concentrating
510e2cc22848143a259ecb4ea89a9575	Difficulty finding words
d873809bfc0be8496dbd0eb6a4dd2173	Painful periods (if you have/had periods)
85f8192adeff5938fe7f696b03f3bfe2	Hypothyroidism
05a71e5a71d96d8bfc9dd681d0d527c0	Hyperthyroidism
4e40aa85b80d4f9b28bbe1394671a9b7	Easy bruising/bleeding
fa8fe2842b3351781f22f2ee4ae5efaf	Slow healing
5f1441757182d26ec9355e20eabad8b3	Get infections easily
ce376cd4efda193264851b87ebbdc22f	Food sensitivities
c6290f3b804a81d7293a0700a83fcb8c	Chemical sensitivities